8
1000	999
1	409
2	318
2	993
3	724
6	339
6	735
7	17
7	677
8	313
9	410
9	469
10	26
10	790
11	776
12	175
13	389
13	988
14	60
14	652
15	279
16	127
16	922
17	7
18	814
19	788
20	426
21	613
21	785
22	272
22	300
23	336
23	704
24	985
25	692
26	269
26	376
27	848
28	474
28	970
30	923
31	53
32	342
33	166
34	364
34	838
35	531
35	762
36	763
36	888
37	493
38	320
38	858
39	126
39	732
40	586
41	119
41	345
42	220
42	540
43	108
44	375
45	925
46	148
46	725
47	303
47	811
48	876
48	890
49	217
50	58
52	190
52	685
53	430
54	574
55	122
56	787
57	267
57	723
58	305
59	498
59	708
60	669
60	894
61	667
61	1000
62	874
62	978
63	57
63	568
64	527
65	347
66	664
66	917
67	584
68	827
68	908
69	502
70	471
70	564
71	752
72	604
73	180
74	934
75	445
75	982
76	388
78	529
79	80
80	79
80	541
81	396
82	829
83	428
84	599
85	673
86	558
86	816
87	795
87	819
88	341
89	103
89	512
90	357
91	353
91	958
92	674
93	841
93	906
95	188
95	306
96	494
97	71
98	457
99	468
100	985
101	174
102	246
103	89
104	521
105	514
105	897
106	154
107	402
108	772
109	243
110	195
110	437
111	265
112	920
113	431
113	633
114	247
115	354
115	950
116	744
116	971
117	515
118	749
119	628
119	963
120	200
121	684
122	55
122	59
123	448
124	338
125	481
126	39
127	16
127	922
128	834
128	856
129	268
130	95
132	814
133	422
133	946
134	980
134	984
135	793
136	838
137	829
138	203
139	778
140	882
142	499
143	699
144	638
144	932
145	501
145	694
146	140
146	882
147	401
148	46
150	547
151	400
152	444
152	894
153	553
154	462
155	2
155	299
156	534
157	636
157	745
158	349
158	843
159	853
159	865
160	688
162	879
162	940
163	136
164	363
165	751
166	10
166	121
167	662
167	831
168	492
168	991
169	259
169	960
170	648
170	917
171	746
173	418
173	520
174	101
174	740
175	12
175	286
176	760
177	432
178	731
178	840
179	421
180	73
180	513
181	761
181	936
182	352
182	671
183	223
183	595
184	943
184	948
185	78
185	872
186	621
187	610
187	903
188	411
188	486
189	222
190	916
190	994
191	655
192	852
192	951
193	857
193	979
194	454
194	953
195	110
196	767
198	503
199	184
200	775
200	899
201	690
202	317
202	728
203	754
204	921
206	589
207	310
210	261
211	360
212	433
213	993
214	872
217	773
218	625
222	235
223	183
225	693
226	691
227	942
228	427
229	958
230	281
231	839
231	883
233	139
234	542
235	189
236	842
237	817
238	536
239	496
240	789
241	977
242	485
243	482
244	477
245	743
246	425
247	912
248	519
249	467
250	212
251	871
252	283
253	64
255	641
256	522
258	8
259	169
260	580
261	377
262	419
263	999
264	937
265	111
266	809
267	412
268	962
270	308
271	836
273	969
275	315
277	278
278	972
279	510
281	230
282	125
283	895
284	682
285	463
288	680
289	736
290	675
293	351
294	332
296	999
297	835
298	885
300	22
301	451
302	382
303	811
304	911
305	50
306	934
307	945
308	656
309	807
310	854
311	539
313	258
316	160
317	153
318	942
320	858
321	834
323	587
324	634
325	500
326	804
327	176
328	228
330	813
330	869
331	151
332	398
333	293
334	273
335	549
335	875
336	23
338	292
339	232
340	658
341	637
342	629
344	236
345	41
346	863
347	555
348	472
349	843
350	371
351	333
352	182
353	722
354	950
355	302
356	799
357	920
358	955
359	245
360	992
362	859
362	866
363	164
364	91
365	289
366	973
367	909
367	968
369	880
371	938
372	227
373	965
374	297
375	171
376	979
377	210
378	807
379	298
380	792
381	391
382	355
385	806
385	907
386	892
387	449
388	768
389	954
390	969
391	198
392	737
393	590
393	847
395	256
396	944
397	543
398	294
399	424
400	331
401	208
402	808
403	350
404	748
406	340
407	193
409	487
410	9
411	681
412	886
413	579
413	837
414	505
415	552
416	225
417	565
418	403
419	786
420	348
421	741
422	946
423	835
424	893
425	102
426	919
427	328
428	660
429	878
430	346
431	730
432	177
433	250
437	284
439	206
440	683
441	954
442	323
443	846
444	152
445	982
446	473
447	844
448	185
449	619
450	937
451	643
454	953
455	404
456	479
457	533
458	941
459	386
460	601
461	478
462	106
463	538
464	524
465	213
466	903
467	738
468	823
469	18
470	914
471	70
472	420
473	650
474	970
475	19
476	825
477	832
478	321
479	702
480	201
481	957
482	109
483	990
484	809
485	578
486	423
487	1
488	612
489	976
491	271
492	991
493	759
494	572
495	663
496	582
497	905
497	964
498	797
499	507
500	325
501	145
502	366
503	960
505	414
506	845
506	998
507	990
508	828
508	855
510	15
511	803
511	870
512	878
513	373
514	897
515	900
516	666
517	627
518	234
519	782
520	997
521	756
522	395
523	72
524	777
525	392
526	238
527	253
529	932
530	989
531	35
533	98
534	812
535	623
536	526
537	716
538	285
539	570
540	42
541	902
542	518
543	802
544	84
545	965
546	275
547	381
548	794
549	875
550	615
552	606
553	915
554	567
555	769
556	815
556	943
558	135
559	871
560	516
561	205
562	770
564	48
565	983
566	956
567	791
568	63
